,Company,Review_score,Date_review,Job,Recommandation,Approb CEO,Perspective,Pros,Cons
10,McDonald's,"1,0",6 nov. 2023,Employé anonyme,None,None,None,"Expérience professionnelle : Travailler chez McDonald's peut vous offrir une expérience précieuse dans le domaine de la restauration rapide. Vous pouvez acquérir des compétences en service à la clientèle, en gestion du temps et en travail d'équipe. Flexibilité des horaires : McDonald's propose souvent des horaires flexibles, ce qui peut convenir à des étudiants ou à ceux qui ont besoin d'un emploi à temps partiel. Opportunités de croissance : McDonald's encourage la promotion interne. Si vous démarrez en tant que membre d'équipe, il y a la possibilité de progresser vers des postes de supervision ou de gestion. Avantages sociaux : En tant qu'employé, vous pouvez avoir accès à certains avantages sociaux tels que l'assurance maladie, les rabais sur la nourriture, et la formation en cours d'emploi.","Pression et stress : Travailler dans la restauration rapide peut être stressant, surtout pendant les heures de pointe. Les clients peuvent être exigeants, et il peut y avoir une pression pour servir rapidement. Salaire : Les salaires dans l'industrie de la restauration rapide ne sont généralement pas élevés, en particulier pour les employés débutants. Cependant, ils peuvent varier en fonction de la localisation géographique. Travail physique : Le travail chez McDonald's peut être exigeant physiquement, avec beaucoup de temps debout, de mouvements répétitifs, et de tâches de nettoyage. Rotation des horaires : Vous pourriez avoir des horaires irréguliers, y compris les soirs, les week-ends et les jours fériés, ce qui peut affecter votre vie personnelle."
11,McDonald's,"5,0",7 janv. 2024,employé polyvalente de restauration,good,neutral,neutral,"Assez facile d'obtenir un premier emploi si on est motivé bien sûr. L'équipe est géniale, toujours prêt à vous aider en toute circonstance.","La clientèle peut être un peu rude parfois mais les managers sont là pour vous soutenir et gérer les conflits. Hormis ça, les horaires de close (minuit ou 1h du matin) mais c'est le concept de la marque, il faut s'y préparer."
12,McDonald's,"2,0",11 déc. 2023,Employé anonyme,None,None,None,"Flexibilité des horaires : McDonald's offre souvent des horaires flexibles, ce qui peut convenir aux étudiants, aux travailleurs à temps partiel ou à ceux qui ont des engagements personnels. Opportunités d'avancement : McDonald's encourage souvent la promotion interne, offrant aux employés la possibilité d'avancer dans leur carrière au sein de l'entreprise. Expérience professionnelle : Travailler au McDonald's peut constituer une première expérience professionnelle pour de nombreux jeunes, offrant des compétences de base en service à la clientèle, en gestion du temps et en travail d'équipe. Avantages sociaux : Certains employés peuvent bénéficier d'avantages sociaux tels que des repas gratuits ou à prix réduit, des assurances, et parfois des programmes de formation.","Conditions de travail exigeantes : Le travail dans un restaurant rapide peut être exigeant physiquement et mentalement, avec des périodes de travail intensives, notamment pendant les heures de pointe. Salaire souvent minimum : Les salaires dans l'industrie de la restauration rapide sont parfois proches du salaire minimum, ce qui peut rendre difficile le maintien d'un niveau de vie décent. Pression du service à la clientèle : Les employés sont souvent confrontés à des clients exigeants et à des situations stressantes, ce qui peut être difficile à gérer. Rotation des tâches : Les employés peuvent être amenés à effectuer différentes tâches, ce qui peut être fatigant et répétitif."
13,McDonald's,"3,0",18 sept. 2023,Équipier Polyvalent Mac Donald's,good,neutral,neutral,"Acquisition de compétences diverses : Étant polyvalent, vous apprendrez plusieurs fonctions, que ce soit en cuisine, au comptoir, à la caisse ou à la gestion des commandes drive. Adaptabilité : Travailler dans différents rôles renforce l'adaptabilité, ce qui est une compétence précieuse dans de nombreux emplois et situations de la vie. Opportunités d'avancement : Avoir une compréhension de plusieurs postes peut augmenter vos chances de promotion, car vous avez une vision plus globale de l'opération du restaurant. Travail d'équipe : La polyvalence vous permet de travailler en étroite collaboration avec différents membres de l'équipe, renforçant ainsi vos compétences en matière de travail d'équipe. Sécurité de l'emploi : Un employé capable d'assumer plusieurs fonctions est souvent plus précieux pour l'entreprise et peut être moins susceptible d'être licencié. Variété : Changer régulièrement de poste peut rendre le travail plus intéressant et moins monotone.","Pression : La nécessité de maîtriser plusieurs fonctions peut être stressante, surtout pendant les heures de pointe. Formation continue : Avec la mise à jour des procédures ou l'introduction de nouveaux produits, la formation peut être constante. Exigences physiques : Selon les postes que vous occupez, le travail peut être physiquement exigeant, par exemple en restant debout pendant de longues périodes ou en soulevant des objets lourds. Salaire : Malgré la polyvalence, le salaire de départ chez McDonald's peut ne pas refléter la diversité des compétences acquises. Horaire irrégulier : En tant qu'équipier polyvalent, vos heures de travail et vos fonctions peuvent varier considérablement d'une semaine à l'autre. Difficulté de spécialisation : Être polyvalent signifie que vous pourriez ne pas devenir un expert dans une fonction spécifique, car votre attention est divisée entre plusieurs tâches."
14,McDonald's,"1,0",6 nov. 2023,Employé anonyme,None,None,None,"Expérience professionnelle : Travailler chez McDonald's peut vous offrir une expérience précieuse dans le domaine de la restauration rapide. Vous pouvez acquérir des compétences en service à la clientèle, en gestion du temps et en travail d'équipe. Flexibilité des horaires : McDonald's propose souvent des horaires flexibles, ce qui peut convenir à des étudiants ou à ceux qui ont besoin d'un emploi à temps partiel. Opportunités de croissance : McDonald's encourage la promotion interne. Si vous démarrez en tant que membre d'équipe, il y a la possibilité de progresser vers des postes de supervision ou de gestion. Avantages sociaux : En tant qu'employé, vous pouvez avoir accès à certains avantages sociaux tels que l'assurance maladie, les rabais sur la nourriture, et la formation en cours d'emploi.","Pression et stress : Travailler dans la restauration rapide peut être stressant, surtout pendant les heures de pointe. Les clients peuvent être exigeants, et il peut y avoir une pression pour servir rapidement. Salaire : Les salaires dans l'industrie de la restauration rapide ne sont généralement pas élevés, en particulier pour les employés débutants. Cependant, ils peuvent varier en fonction de la localisation géographique. Travail physique : Le travail chez McDonald's peut être exigeant physiquement, avec beaucoup de temps debout, de mouvements répétitifs, et de tâches de nettoyage. Rotation des horaires : Vous pourriez avoir des horaires irréguliers, y compris les soirs, les week-ends et les jours fériés, ce qui peut affecter votre vie personnelle."
15,McDonald's,"5,0",7 janv. 2024,employé polyvalente de restauration,good,neutral,neutral,"Assez facile d'obtenir un premier emploi si on est motivé bien sûr. L'équipe est géniale, toujours prêt à vous aider en toute circonstance.","La clientèle peut être un peu rude parfois mais les managers sont là pour vous soutenir et gérer les conflits. Hormis ça, les horaires de close (minuit ou 1h du matin) mais c'est le concept de la marque, il faut s'y préparer."
16,Amazon,"5,0",15 janv. 2024,Manager,good,good,good,Je travaille au sein de l’entreprise depuis un petit moment et l’environnement de travail est très confortable.,Les horaires de travail en shift
17,Amazon,"3,0",24 déc. 2023,Senior Vendor Manager,bad,neutral,good,"-Package compétitif, lorsque l'on tient compte des actions (dont on devient propriétaire après plusieurs années)
-Locaux rénovés en 2020 et bien équipés, mais assez excentrés à Clichy sur la ligne 13 (fortement encombrée)
-Autonomie assez complète dans l'organisation individuelle du travail
-Une expérience formatrice, notamment sur les compétences analytiques et liées à la data
-Bons profils, mais le recrutement devient de plus en plus difficile en France, notamment avec une image de marque qui se dégrade
-Equipe jeune et soudée avec une bonne ambiance et des sorties fréquentes","-Entreprise tentaculaire : organigramme illisible, responsabilités fragmentées et redondantes, fonctionnement en silo.
-Contenu du job : beaucoup de temps alloué à l'analyse, peu à la prise de décision et à l'action. De nombreuses équipes, en particulier les Product Managers, passent 100% de leur temps à écrire des docs qui ne débouchent sur rien de concret.
-Fonctionnement centralisé : aucune place laissée à l'initiative ou à l'innovation en local (marché FR insignifiant après US, UK et DE).
-Approche deshumanisée des RH : pas d'interlocuteur sur place, il faut faire un Ticket pour toute question, aucune formation sur site, les nouveaux arrivants doivent ingérer des dizaines d'heures de elearning. 
-Equilibre vie pro/vie perso problématique : nombreux burn-out chez les jeunes collaborateurs, qui ont plus de mal à fixer des limites à une charge de travail qui peut leur paraître illimitée.
-Nouvelle politique globale d'Amazon : gel quasi-total des mobilités internes depuis plus d'un an et retour au bureau 3 jours par semaine (controlé par badgeadge), qui a entraîné ma démission."
18,Amazon,"1,0",10 janv. 2024,Agent exploitation logistique,bad,bad,bad,"Aucun, un code de réduction qui ne fonctionne sur absolument casiment rien du site, des primes éligible mais qu’avec deux ans d’ancienneté bref que les yeux pour pleurer quoi ..",Management 0 Grosse pression Aucun sentiment de valorisation du travail Oublier votre santé
19,Amazon,"3,0",17 janv. 2024,Préparateur De Commande,None,None,None,13 eme mois / participation au bénéfice / cheques vacances / cheques cadeaux,Environnement toxic et très mauvais management de copinage sans réel talent
20,Amazon,"4,0",9 janv. 2024,Préparateur De Commande,None,None,None,- Salaire un peu plus élevé que le smic - Bonne ambiance,- Travail assez physique avec risque de blessure si on ne respecte pas les règles de sécurité
21,Amazon,"5,0",15 janv. 2024,Manager,good,good,good,Je travaille au sein de l’entreprise depuis un petit moment et l’environnement de travail est très confortable.,Les horaires de travail en shift
22,Amazon,"3,0",24 déc. 2023,Senior Vendor Manager,bad,neutral,good,"-Package compétitif, lorsque l'on tient compte des actions (dont on devient propriétaire après plusieurs années)
-Locaux rénovés en 2020 et bien équipés, mais assez excentrés à Clichy sur la ligne 13 (fortement encombrée)
-Autonomie assez complète dans l'organisation individuelle du travail
-Une expérience formatrice, notamment sur les compétences analytiques et liées à la data
-Bons profils, mais le recrutement devient de plus en plus difficile en France, notamment avec une image de marque qui se dégrade
-Equipe jeune et soudée avec une bonne ambiance et des sorties fréquentes","-Entreprise tentaculaire : organigramme illisible, responsabilités fragmentées et redondantes, fonctionnement en silo.
-Contenu du job : beaucoup de temps alloué à l'analyse, peu à la prise de décision et à l'action. De nombreuses équipes, en particulier les Product Managers, passent 100% de leur temps à écrire des docs qui ne débouchent sur rien de concret.
-Fonctionnement centralisé : aucune place laissée à l'initiative ou à l'innovation en local (marché FR insignifiant après US, UK et DE).
-Approche deshumanisée des RH : pas d'interlocuteur sur place, il faut faire un Ticket pour toute question, aucune formation sur site, les nouveaux arrivants doivent ingérer des dizaines d'heures de elearning. 
-Equilibre vie pro/vie perso problématique : nombreux burn-out chez les jeunes collaborateurs, qui ont plus de mal à fixer des limites à une charge de travail qui peut leur paraître illimitée.
-Nouvelle politique globale d'Amazon : gel quasi-total des mobilités internes depuis plus d'un an et retour au bureau 3 jours par semaine (controlé par badgeadge), qui a entraîné ma démission."
23,Amazon,"1,0",10 janv. 2024,Agent exploitation logistique,bad,bad,bad,"Aucun, un code de réduction qui ne fonctionne sur absolument casiment rien du site, des primes éligible mais qu’avec deux ans d’ancienneté bref que les yeux pour pleurer quoi ..",Management 0 Grosse pression Aucun sentiment de valorisation du travail Oublier votre santé
24,Amazon,"3,0",17 janv. 2024,Préparateur De Commande,None,None,None,13 eme mois / participation au bénéfice / cheques vacances / cheques cadeaux,Environnement toxic et très mauvais management de copinage sans réel talent
25,Amazon,"4,0",9 janv. 2024,Préparateur De Commande,None,None,None,- Salaire un peu plus élevé que le smic - Bonne ambiance,- Travail assez physique avec risque de blessure si on ne respecte pas les règles de sécurité
26,Amazon,"5,0",15 janv. 2024,Manager,good,good,good,Je travaille au sein de l’entreprise depuis un petit moment et l’environnement de travail est très confortable.,Les horaires de travail en shift
27,Amazon,"3,0",24 déc. 2023,Senior Vendor Manager,bad,neutral,good,"-Package compétitif, lorsque l'on tient compte des actions (dont on devient propriétaire après plusieurs années)
-Locaux rénovés en 2020 et bien équipés, mais assez excentrés à Clichy sur la ligne 13 (fortement encombrée)
-Autonomie assez complète dans l'organisation individuelle du travail
-Une expérience formatrice, notamment sur les compétences analytiques et liées à la data
-Bons profils, mais le recrutement devient de plus en plus difficile en France, notamment avec une image de marque qui se dégrade
-Equipe jeune et soudée avec une bonne ambiance et des sorties fréquentes","-Entreprise tentaculaire : organigramme illisible, responsabilités fragmentées et redondantes, fonctionnement en silo.
-Contenu du job : beaucoup de temps alloué à l'analyse, peu à la prise de décision et à l'action. De nombreuses équipes, en particulier les Product Managers, passent 100% de leur temps à écrire des docs qui ne débouchent sur rien de concret.
-Fonctionnement centralisé : aucune place laissée à l'initiative ou à l'innovation en local (marché FR insignifiant après US, UK et DE).
-Approche deshumanisée des RH : pas d'interlocuteur sur place, il faut faire un Ticket pour toute question, aucune formation sur site, les nouveaux arrivants doivent ingérer des dizaines d'heures de elearning. 
-Equilibre vie pro/vie perso problématique : nombreux burn-out chez les jeunes collaborateurs, qui ont plus de mal à fixer des limites à une charge de travail qui peut leur paraître illimitée.
-Nouvelle politique globale d'Amazon : gel quasi-total des mobilités internes depuis plus d'un an et retour au bureau 3 jours par semaine (controlé par badgeadge), qui a entraîné ma démission."
28,Amazon,"1,0",10 janv. 2024,Agent exploitation logistique,bad,bad,bad,"Aucun, un code de réduction qui ne fonctionne sur absolument casiment rien du site, des primes éligible mais qu’avec deux ans d’ancienneté bref que les yeux pour pleurer quoi ..",Management 0 Grosse pression Aucun sentiment de valorisation du travail Oublier votre santé
29,Amazon,"3,0",17 janv. 2024,Préparateur De Commande,None,None,None,13 eme mois / participation au bénéfice / cheques vacances / cheques cadeaux,Environnement toxic et très mauvais management de copinage sans réel talent
30,Amazon,"4,0",9 janv. 2024,Préparateur De Commande,None,None,None,- Salaire un peu plus élevé que le smic - Bonne ambiance,- Travail assez physique avec risque de blessure si on ne respecte pas les règles de sécurité
31,Amazon,"5,0",15 janv. 2024,Manager,good,good,good,Je travaille au sein de l’entreprise depuis un petit moment et l’environnement de travail est très confortable.,Les horaires de travail en shift
32,Amazon,"3,0",24 déc. 2023,Senior Vendor Manager,bad,neutral,good,"-Package compétitif, lorsque l'on tient compte des actions (dont on devient propriétaire après plusieurs années)
-Locaux rénovés en 2020 et bien équipés, mais assez excentrés à Clichy sur la ligne 13 (fortement encombrée)
-Autonomie assez complète dans l'organisation individuelle du travail
-Une expérience formatrice, notamment sur les compétences analytiques et liées à la data
-Bons profils, mais le recrutement devient de plus en plus difficile en France, notamment avec une image de marque qui se dégrade
-Equipe jeune et soudée avec une bonne ambiance et des sorties fréquentes","-Entreprise tentaculaire : organigramme illisible, responsabilités fragmentées et redondantes, fonctionnement en silo.
-Contenu du job : beaucoup de temps alloué à l'analyse, peu à la prise de décision et à l'action. De nombreuses équipes, en particulier les Product Managers, passent 100% de leur temps à écrire des docs qui ne débouchent sur rien de concret.
-Fonctionnement centralisé : aucune place laissée à l'initiative ou à l'innovation en local (marché FR insignifiant après US, UK et DE).
-Approche deshumanisée des RH : pas d'interlocuteur sur place, il faut faire un Ticket pour toute question, aucune formation sur site, les nouveaux arrivants doivent ingérer des dizaines d'heures de elearning. 
-Equilibre vie pro/vie perso problématique : nombreux burn-out chez les jeunes collaborateurs, qui ont plus de mal à fixer des limites à une charge de travail qui peut leur paraître illimitée.
-Nouvelle politique globale d'Amazon : gel quasi-total des mobilités internes depuis plus d'un an et retour au bureau 3 jours par semaine (controlé par badgeadge), qui a entraîné ma démission."
33,Amazon,"1,0",10 janv. 2024,Agent exploitation logistique,bad,bad,bad,"Aucun, un code de réduction qui ne fonctionne sur absolument casiment rien du site, des primes éligible mais qu’avec deux ans d’ancienneté bref que les yeux pour pleurer quoi ..",Management 0 Grosse pression Aucun sentiment de valorisation du travail Oublier votre santé
34,Amazon,"3,0",17 janv. 2024,Préparateur De Commande,None,None,None,13 eme mois / participation au bénéfice / cheques vacances / cheques cadeaux,Environnement toxic et très mauvais management de copinage sans réel talent
35,Amazon,"4,0",9 janv. 2024,Préparateur De Commande,None,None,None,- Salaire un peu plus élevé que le smic - Bonne ambiance,- Travail assez physique avec risque de blessure si on ne respecte pas les règles de sécurité
36,Accenture,"5,0",12 janv. 2024,Manager,None,None,None,"CE, PEE, Participation et intéressement","Politique interne, beaucoup de processus du fait de la taille de la structure"
37,Accenture,"2,0",17 janv. 2024,Associate Manager,None,bad,None,"- bon salaire, assez compétitif - notoriété, groupe international avec une mobilité possible - missions intéressantes - beaucoup d’avantages très peu connus : médecin direct, réductions intéressantes sur la plupart des chaînes hôtelières, partenariat avec le Louvre","- gel des augmentations - des différences de rémunération beaucoup trop importantes à grade équivalent - problèmes de staffing : certains consultants sont sur plusieurs missions tandis que d’autres sont sur le bench. - sur la practice, une pyramide déséquilibrée avec beaucoup trop de managers par rapport au nombre de consultants - une parité homme/femme pas vraiment respectée"
