,Unnamed: 0,Company,Rank,Review_score,Date_review,Job,Recommandation,Approb CEO,Perspective,Pros,Cons
35,35,Deloitte,"4,0","4,0",3 janv. 2024,Auditeur Senior,good,,neutral,"TextToTextResult(text='Follow-up of procedures possibility of rapid assembly, and knowledge of many areas. follow-up of procedures possibility of rapid assembly. follow-up of procedures possibility of rapid assembly. follow-up of procedures possibility of rapid assembly.')","TextToTextResult(text='Work schedule, pressure, staff turnover.')"
36,36,Deloitte,"4,0","5,0",5 janv. 2024,Employé anonyme,,,,"TextToTextResult(text='Salary, flexibility, atmosphere, team, management.')","TextToTextResult(text='Schedules, offices, paid leave, stress.')"
37,37,Deloitte,"4,0","1,0",27 déc. 2023,Consultant,bad,neutral,neutral,TextToTextResult(text='Rapid increase in skills (due to the pressure of always having more to do) above average salary.'),TextToTextResult(text='If you have a non-existent work/life balance you will be pushed to work evenings and weekends with impossible deadlines remuneration that does not compensate for the health that you will be obliged to put into work')
38,38,Deloitte,"4,0","5,0",4 janv. 2024,SRI Analyst,,good,,TextToTextResult(text='Executive salaries locations and studies.'),TextToTextResult(text='Not much in particular.')
39,39,Deloitte,"4,0","4,0",26 déc. 2023,Conseil et Audit IT,good,neutral,neutral,TextToTextResult(text='Many different industries and professions have been discovered through the discovery of many different industries and professions.'),"TextToTextResult(text='An insane amount of work if you don\'t know how to say ""no"".')"
40,40,Capgemini,"3,6","5,0",15 janv. 2024,Engagement Manager,good,good,good,"TextToTextResult(text='Training, missions, and various opportunities.')",TextToTextResult(text='Lots of turnover and it is difficult to get a raise.')
41,41,Capgemini,"3,6","3,0",8 janv. 2024,Software Engineer,good,neutral,good,"TextToTextResult(text=""Employee benefits are numerous, including health insurance, clearly defined processes, interesting projects, networking opportunities and internal training programs. let's not forget the monstrous effort of certain seniors, regardless of their role or position, who have a real"")","TextToTextResult(text='Lack of transparency and communication on certain events, notably informal meetings with the VPs to ""put on a good face"". group pressure and opaque salary disparities. lack of transparency on project bonuses, which creates a feeling of')"
42,42,Capgemini,"3,6","2,0",14 janv. 2024,Consultant Confirmé,good,neutral,good,TextToTextResult(text='There is a company with promotions on interesting trips you can find missions with the most diverse clients.'),TextToTextResult(text='The 13th month is increasingly rare for newcomers. bonuses are reserved for the most bootlickers.')
43,43,Capgemini,"3,6","2,0",15 janv. 2024,Consultante Junior,,,,TextToTextResult(text='Restaurant tickets 1/2 transport ticket.'),TextToTextResult(text='No profit-oriented support a lot of responsibilities in relation to salary no increase or salary alignment + a real salary gap between employees.')
44,44,Capgemini,"3,6","3,0",6 nov. 2023,Ingénieur Développement Logiciel,,,,"TextToTextResult(text='Professional Development Opportunities: Capgemini encourages the continued growth and training of its employees, providing opportunities for career development and skills development. International Collaboration: As a global company, Capgemini promotes collaboration and the exchange of experiences with colleagues')","TextToTextResult(text='As with many technology consulting firms, Capgemini employees can sometimes face large workloads and tight deadlines, which can lead to increased pressure. geographic mobility: certain positions within the company may require frequent geographic mobility or missions abroad, which may be')"
45,45,Capgemini,"3,6","1,0",12 janv. 2024,Chef De Projet,,,,TextToTextResult(text='Not much if you like hypocrisy.'),"TextToTextResult(text='No evolution possible, dinosaurs are well seated, no questioning of the functioning, the good elements have all left this company and those who come in leave quickly. after 3 years with them, only the licks remain.')"
46,46,Capgemini,"3,6","3,0",11 janv. 2024,Consultant analyste infrastructure,bad,good,bad,TextToTextResult(text='100% teleworking if desired. 100% teleworking if desired.'),"TextToTextResult(text='We never see our colleagues, no group dynamics, almost no prospect of advancement, catastrophic management, old, childish.')"
47,47,Capgemini,"3,6","5,0",15 janv. 2024,Consultante,good,good,good,"TextToTextResult(text='Very good onboarding, and assistance to improve skills.')",TextToTextResult(text='The recruitment time is relatively long.')
48,48,Capgemini,"3,6","2,0",14 janv. 2024,Employé anonyme,bad,neutral,neutral,"TextToTextResult(text=""Little advantage for a box of cac 40's."")",TextToTextResult(text='Old France in many services is too political overall.')
49,49,Capgemini,"3,6","4,0",9 janv. 2024,Développeur web junior,,,good,TextToTextResult(text='Fully funded personal training - frequent change of environments - gives juniors a chance to learn.'),"TextToTextResult(text=""It's an ESN so you can be removed from the mission very quickly by clients - too many negotiations / time to take into account increases."")"
50,50,EY,"3,8","5,0",31 déc. 2023,Auditeur Financier - Junior,good,neutral,good,"TextToTextResult(text='Great acquisition of skills, discovery of several varieties of business, freedom and autonomy in work, working atmosphere, young teams.')","TextToTextResult(text='Long hours, heavy workload.')"
51,51,EY,"3,8","5,0",21 août 2023,Consultant Data Scientist Junior,,,,"TextToTextResult(text='- very good salary for 0-1 year of experience. - macbook air by default, macbook pro customized latest generation by request. - 100% teleworking. - on mutual. - cse after')","TextToTextResult(text='if you have a very good solid diploma from an engineering school or university, you will not be recruited, on the other hand, if you come from a well-known business school and you know how to speak or even lie')"
52,52,EY,"3,8","2,0",4 janv. 2024,Junior Consultant FSO,bad,neutral,neutral,"TextToTextResult(text='We have a good salary honestly, starting at €40k.')","TextToTextResult(text='The work environment is in no way rewarding, but the opportunities are there. it is pure production which sometimes borders on stupidity when there is little work (you have to show that you are working even when there is no no work) and people')"
53,53,EY,"3,8","4,0",8 janv. 2024,Consultant Sénior,good,good,good,"TextToTextResult(text='Starting as a junior allows you to acquire solid methodological training whatever the department, hard and soft skills, and allows rapid annual progression, from a point of view of grade, and salary depending on performance.')","TextToTextResult(text=""In which case don't turn to this type of company, it's part of the game."")"
54,54,EY,"3,8","4,0",15 janv. 2024,Junior Auditor,,,,TextToTextResult(text='Very friendly teams interesting missions.'),TextToTextResult(text='There is a lot of work with an hourly rate that resembles the minimum wage.')
55,55,EY,"3,8","3,0",26 déc. 2023,Senior Consultant GRC,good,,neutral,"TextToTextResult(text='This experience allowed me to discover the world of big fours and how they work. I was able to carry out different missions on different themes and have access to a lot of knowledge. in addition, it allowed me to work on the')","TextToTextResult(text='I received very little support during these two years with online training, limited feedback and a priority continually placed on business to the detriment of my personal life at times. furthermore, the teams are very separate and rarely work together.')"
56,56,EY,"3,8","5,0",15 janv. 2024,Stagiaire,good,neutral,neutral,"TextToTextResult(text='Great for a career start, a lot of opportunities of learning.')",TextToTextResult(text='The salary is not so good.')
57,57,EY,"3,8","2,0",12 janv. 2024,Auditeur Financier,bad,neutral,neutral,TextToTextResult(text='Rapid development + diversity of missions + trainer + empowerment.'),TextToTextResult(text='Low starting salary + non-existent work/life balance + few benefits + big four mentality.')
58,58,EY,"3,8","4,0",12 janv. 2024,Consultant Sénior,good,neutral,neutral,TextToTextResult(text='Very diverse mission typology in a context with high stakes.'),TextToTextResult(text='Very high pace of work.')
59,59,EY,"3,8","4,0",9 janv. 2024,Senior Manager,good,neutral,good,TextToTextResult(text='Plan expense report cse bonus because plan expense report cse bonus because plan expense report cse bonus because plan expense report cse bonus because plan expense report cse bonus because plan expense report '),TextToTextResult(text='Workload competition role of HR not in support of consultants.')
60,60,PwC,"3,9","5,0",13 déc. 2023,Auditeur Financier,good,good,good,TextToTextResult(text='Customer diversity training rapid evolution customer diversity training customer diversity training rapid evolution customer diversity training rapid evolution customer diversity training rapid evolution customer diversity training rapid evolution customer diversity training rapid evolution customer diversity training rapid evolution customer diversity training rapid evolution customer diversity training rapid evolution customer'),TextToTextResult(text='Low salary geographical mobility long hours. low salary geographical mobility. low salary geographical mobility. low salary geographical mobility. low salary geographical mobility. low salary geographical mobility. low salary geographical mobility. low salary geographical mobility. low salary geographical mobility. low salary')
61,61,PwC,"3,9","2,0",5 janv. 2024,Consultant finance,bad,neutral,neutral,TextToTextResult(text='Training work environment. lots of things to do and learn if you want.'),"TextToTextResult(text='You have to choose your manager carefully because they will be the ones who will help you obtain the missions that interest you. otherwise, you will have missions that no one wants to do but you are on availability, you are obliged to accept it')"
62,62,PwC,"3,9","4,0",9 janv. 2024,Audit Interne,good,good,good,"TextToTextResult(text='Dynamic corporate life, very warm premises, cohesion and teamwork, a lot of autonomy as a junior, clear and easily achievable development, lots of travel, possibility of fast track.')","TextToTextResult(text='Little room for creativity (absolute rigor) and broadening the scope of actions, work-life balance difficult to achieve, little questioning of management.')"
63,63,PwC,"3,9","4,0",14 janv. 2024,Senior Consultant,,,,TextToTextResult(text='Notoriety and reputation for a firm have earned it notoriety and reputation.'),TextToTextResult(text='Excessive pressure from partners.')
64,64,PwC,"3,9","5,0",7 janv. 2024,fiscaliste,good,,neutral,"TextToTextResult(text='Flexible, welcoming team and very pleasant working environment.')","TextToTextResult(text='Work evenings, weekends, public holidays for a salary that does not reflect this investment. fairly low or even very low salary for the workload required.')"
65,65,PwC,"3,9","4,0",10 janv. 2024,Accounting,good,good,neutral,TextToTextResult(text='Teleworking policy as well as close work with colleagues. good workforce management despite turnover.'),"TextToTextResult(text='After a long day during reporting, it was a long day during reporting.')"
66,66,PwC,"3,9","4,0",6 déc. 2023,Consultant Sénior,good,,,"TextToTextResult(text='-a caring, but nevertheless demanding culture, which immediately places responsibility and allows rapid progress -inspiring and caring management in the teams of which I have been a member -very large projects and great career opportunities -')",TextToTextResult(text='When you are billed several hundred euros per day (or even more than 1000 euros from the manager rank) you are sometimes forced to work at will.')
67,67,PwC,"3,9","5,0",2 janv. 2024,Consultant Manager,good,,good,TextToTextResult(text='Open-minded - negotiable salary/bonus - great projects.'),TextToTextResult(text='Choose your teams and projects carefully (be careful of over-staffing) - quite political (sometimes illegitimate promotions) - a heterogeneous level of recognition depending on the collaborators.')
68,68,PwC,"3,9","3,0",10 janv. 2024,Auditeur Financier - Junior,,,,TextToTextResult(text='Learning is the main advantage in my opinion.'),TextToTextResult(text='You must like working in an office.')
69,69,PwC,"3,9","4,0",8 janv. 2024,Alternant,,,,TextToTextResult(text='Flexibility and teleworking are teleworking and teleworking.'),TextToTextResult(text='The salary level is low in my opinion.')
70,70,KPMG,"3,8","5,0",9 janv. 2024,"Consultant, ESG Advisory",,,,"TextToTextResult(text='Friendly, realistic teams while being truly committed.')",TextToTextResult(text='This is linked to the growing demand for esg topics.')
71,71,KPMG,"3,8","3,0",15 janv. 2024,Ingénieur Commercial,good,neutral,good,"TextToTextResult(text='Great flexibility, large group with advantages, and great flexibility.')","TextToTextResult(text='There are no executive, auditor or accountant managers who do not speak the “business” language.')"
72,72,KPMG,"3,8","4,0",10 janv. 2024,Auditeur Junior,,,,"TextToTextResult(text='Low average age, good atmosphere despite the pressure, class cohesion, continuation of the school with good training, caring management, possibility of development internally and externally.')",TextToTextResult(text='The low salary according to the school grid pressure during the season having to be adaptable to the school grid pressure during the season having to be adaptable to the school grid pressure during the season having to be adaptable.')
73,73,KPMG,"3,8","5,0",7 janv. 2024,Auditeur Financier - Junior,good,,good,"TextToTextResult(text='The financial advantages are numerous, but are not the only sources of motivation thanks to a promotional atmosphere and daily mutual assistance between employees.')",TextToTextResult(text='Very heavy workloads over a certain period of the year.')
74,74,KPMG,"3,8","4,0",12 janv. 2024,Actuaire,good,,good,TextToTextResult(text='I really liked the working atmosphere there.'),"TextToTextResult(text='Sometimes it is not challenging enough, but good sometimes.')"
75,75,KPMG,"3,8","2,0",19 déc. 2023,MANAGER AUDIT,bad,bad,bad,"TextToTextResult(text=""It's an interesting profession, allowing you to discover many sectors of activity, the different players in the life of a company. as he is very demanding, he learns to be rigorous and efficient. it's "")","TextToTextResult(text='The work of an auditor requires significant involvement and generates strong pressure, which often does not allow a good balance between professional and personal life to be maintained. salary scales, once attractive, have been poorly reevaluated for many')"
76,76,KPMG,"3,8","2,0",10 janv. 2024,Auditeur Financier,,,,TextToTextResult(text='There are no benefits apart from salary.'),"TextToTextResult(text='colossal workload, failing management and toxic politics.')"
77,77,KPMG,"3,8","4,0",8 janv. 2024,Consultant,good,good,neutral,"TextToTextResult(text='Very educational, good varied mission.')","TextToTextResult(text='Travel, random management depending on missions, random management depending on missions.')"
78,78,KPMG,"3,8","4,0",6 janv. 2024,Auditeur Financier - Junior,good,,neutral,TextToTextResult(text='Opportunity to open many doors.'),TextToTextResult(text='Working hours are quite difficult.')
79,79,KPMG,"3,8","2,0",28 nov. 2023,Analyste Transaction Services,bad,neutral,bad,TextToTextResult(text='After work and offsight young team members have a variety of missions in many sectors and internationally after work and offsight young team members have a variety of missions in many sectors and internationally after work and offsight young team members'),"TextToTextResult(text=""It's not uncommon to finish at 3 a.m. on a mission, it's even the norm at the end of a mission. management through terror where we seek to exploit people as much as possible rather than helping"")"
80,80,IBM,"4,1","5,0",12 déc. 2023,Manager,good,good,good,TextToTextResult(text='Human and flexible company with good resources and international flexibility.'),TextToTextResult(text='Important structure missing the “small business” effect climate dependent on the practice.')
81,81,IBM,"4,1","3,0",15 janv. 2024,consultante en transformation digitale,,,,"TextToTextResult(text='Support for juniors for 1 year, interesting development prospects for juniors for 1 year.')","TextToTextResult(text='Travel time, common room.')"
82,82,IBM,"4,1","3,0",14 déc. 2023,Développeur,bad,neutral,bad,TextToTextResult(text='Restaurant ticket cse general atmosphere corporate event.'),"TextToTextResult(text='Management is often catastrophic, you are made to believe that you can count on them, but when you are struggling with your project or even when your colleagues behave more than borderline towards you, you are made to understand that they can do nothing for')"
83,83,IBM,"4,1","1,0",15 janv. 2024,Analyste Développeur,bad,,,TextToTextResult(text='The reference company in the IT sector is a reference company in the IT sector.'),"TextToTextResult(text='Factory, bureaucracy, controls, process, bullshits.')"
84,84,IBM,"4,1","1,0",8 déc. 2023,Senior Consultant,,,,"TextToTextResult(text='Holiday vouchers, cultural outings...')","TextToTextResult(text='- mediocre raises, we raise people who are ready to leave rather than people who deserve it - far too many associate partners without a client portfolio - few missions in Paris, the majority of missions are in the region')"
85,85,IBM,"4,1","2,0",3 déc. 2023,Ingénieur Commercial,,,,TextToTextResult(text='Few teleworking layoffs. possible mobility in different companies and benevolence in the company. few teleworking layoffs.'),TextToTextResult(text='No financial benefits (no stock options or profit-sharing). exacerbating internal process. lack of agility because decisions are too centralized from the USA. increase in slingshot. does not know how to properly reward his')
86,86,IBM,"4,1","3,0",8 déc. 2023,ingénieur commercial senior,bad,bad,bad,TextToTextResult(text='IBM brand image which still opens the doors to the IBM brand image which still opens the doors to the IBM brand image which still opens the doors to the IBM brand image which still opens the doors to the IBM brand image which still opens the doors to'),TextToTextResult(text='Very low starting salary. senior salary out of step with the market.')
87,87,IBM,"4,1","5,0",7 déc. 2023,Senior Manager,good,neutral,good,TextToTextResult(text='Ibm consulting offers a good variety of topics covered competitive salaries and possible career development human management.'),TextToTextResult(text='The processes are sometimes cumbersome annual increases not up to the market: grow up or go out philosophy.')
88,88,IBM,"4,1","4,0",14 déc. 2023,Lead Developer BackEnd,,,,TextToTextResult(text='Very interesting opportunities and projects.'),TextToTextResult(text='Large companies with not enough close management.')
89,89,IBM,"4,1","4,0",12 déc. 2023,Project Manager,good,good,bad,TextToTextResult(text='International group with missions abroad.'),TextToTextResult(text='IBM has changed a lot since Ginni Rometty left.')
90,90,BNP Paribas,"3,8","5,0",4 janv. 2024,Data Analyst Intern,,,,TextToTextResult(text='Work-study program provides a good learning environment during the work-study program.'),TextToTextResult(text='Not before 6 months.')
91,91,BNP Paribas,"3,8","4,0",8 janv. 2024,Inspecteur À L'Inspection Générale,good,good,neutral,TextToTextResult(text='a lot of work has been done to enhance well-being at work. this contributes to a good atmosphere within the teams. - strong exposure to the management of audited entities even as a junior. - demanding'),TextToTextResult(text='Recent policy of cost reduction leads to less frequent and shorter trips abroad. - some managers maintain a fairly archaic mentality and lack kindness towards their teams. - no possibility of taking advantage of the May holidays.')
92,92,BNP Paribas,"3,8","1,0",31 oct. 2023,Conseiller proximité,bad,,bad,"TextToTextResult(text=""If you don't have personalities and want to join an environment that reflects you, go for it."")",TextToTextResult(text='When I arrived at bnp I was informed that the salary estimate is based on experience and especially diploma. what was my surprise when I realized that my remuneration had absolutely nothing to do with my colleagues with whom I')
93,93,BNP Paribas,"3,8","3,0",6 janv. 2024,Inspecteur À L'Inspection Générale,good,good,good,"TextToTextResult(text='The missions are an opportunity to learn the entire functioning of the bank (front, back, support, quality, legal, compliance functions). possibility of travel and profit-sharing/participation better than in competing French banks.')","TextToTextResult(text='The schedules are at times colossal and excessive, resulting in sometimes unnecessary rigidity. the advantages in terms of quality of hotels and travel times abroad are apparently much less advantageous than in the past, although this is one of')"
94,94,BNP Paribas,"3,8","4,0",13 janv. 2024,Conseiller renfort groupe,good,good,neutral,"TextToTextResult(text='Benefits such as commercial, profit-sharing and participation bonuses, CE, restaurant vouchers, reimbursement of transportation costs.')","TextToTextResult(text='The number of clients, the workload, the pressure, the stress.')"
95,95,BNP Paribas,"3,8","4,0",15 janv. 2024,Directeur d' agence,good,good,good,TextToTextResult(text='The proximity to home work versatility of the position.'),TextToTextResult(text='The salary is too low compared to investment.')
96,96,BNP Paribas,"3,8","2,0",4 déc. 2023,Inspection Générale,bad,neutral,neutral,TextToTextResult(text='The prestige and reputation of the inspection friendliness of a part of the staff is reflected in the prestige and reputation of the inspection friendliness of some of the staff.'),"TextToTextResult(text='the positions to which one can apply at the end of the inspection become more and more difficult and limited accessible by externals. therefore, there is no longer much added value in carrying out the general inspection, other than the construction of an internal network')"
97,97,BNP Paribas,"3,8","3,0",9 janv. 2024,responsable d'application,bad,bad,good,TextToTextResult(text='The company has a global salary policy that is fair for everyone.'),"TextToTextResult(text='The size of the company means that if you do not do active lobbying (or even continuous for many), you will never evolve.')"
98,98,BNP Paribas,"3,8","1,0",15 oct. 2023,Chargé d affaires professionnel,bad,bad,bad,TextToTextResult(text='- if you know how to play flattery and are comfortable with the crony approach you can have a great and long career. - a ce in Paris which is appreciable.'),"TextToTextResult(text=""I graduated with a master's degree in professional advice, in my agency in Paris they recruited salespeople from Sephora, SFR to put them as pri-advisors. - very infantilizing. part of"")"
99,99,BNP Paribas,"3,8","5,0",10 janv. 2024,Product Manager,,,,"TextToTextResult(text='Working conditions, management, respect for employees, solidity of the group, endless possibilities for internal mobility, etc.')",TextToTextResult(text='The large group whose evolution can be slow can be a large group whose evolution can be slow.')
100,100,Société Générale,"3,6","5,0",5 janv. 2024,Gestionnaire Middle Office,good,neutral,neutral,TextToTextResult(text='Competitive remuneration and benefits after school.'),TextToTextResult(text='Limited advancement opportunities and low salary growth.')
101,101,Société Générale,"3,6","3,0",15 janv. 2024,Assistant,,,,TextToTextResult(text='A good base of training is available.'),TextToTextResult(text='It is difficult to change positions due to reduced mobility and reduced mobility.')
102,102,Société Générale,"3,6","3,0",14 janv. 2024,Agent Support,good,neutral,neutral,"TextToTextResult(text='This is correct. Job security, this is correct.')","TextToTextResult(text='Too much reorganization, not enough staff in certain departments.')"
103,103,Société Générale,"3,6","4,0",14 janv. 2024,Junior Sales Trader,good,good,good,"TextToTextResult(text='Dynamic team, good salary, high-level management.')",TextToTextResult(text='No progression in salary.')
